Student,Team,Sample_Type,Replicate,Concentration
JR,Spin,Frozen,1,1.86
JR,Spin,Frozen,2,3.05
JR,Spin,Frozen,3,0.958
JR,Spin,Ethanol,1,0.192
JR,Spin,Ethanol,2,0.248
JR,Spin,Ethanol,3,5.97
JR,Spin,Silica,1,7.8
JR,Spin,Silica,2,1.25
JR,Spin,Silica,3,5.33
MA,Magnet,Frozen,1,7.37
MA,Magnet,Frozen,2,7.11
MA,Magnet,Frozen,3,8.01
MA,Magnet,Ethanol,1,0.423
MA,Magnet,Ethanol,2,0.37
MA,Magnet,Ethanol,3,0.387
MA,Magnet,Silica,1,22.1
MA,Magnet,Silica,2,20.1
MA,Magnet,Silica,3,21.4
WL,Spin,Frozen,1,14.4
WL,Spin,Frozen,2,8.08
WL,Spin,Frozen,3,20.6
WL,Spin,Ethanol,1,8.108
WL,Spin,Ethanol,2,4.07
WL,Spin,Ethanol,3,10.7
WL,Spin,Silica,1,0.476
WL,Spin,Silica,2,0.463
WL,Spin,Silica,3,0.552
BR,Magnet,Frozen,1,0.646
BR,Magnet,Frozen,2,0.547
BR,Magnet,Frozen,3,0.64
BR,Magnet,Ethanol,1,5.62
BR,Magnet,Ethanol,2,5.42
BR,Magnet,Ethanol,3,5.86
BR,Magnet,Silica,1,1.68
BR,Magnet,Silica,2,2.49
BR,Magnet,Silica,3,1.14
HV,Spin,Frozen,1,6.89
HV,Spin,Frozen,2,6.57
HV,Spin,Frozen,3,6.93
HV,Spin,Ethanol,1,20.3
HV,Spin,Ethanol,2,20.3
HV,Spin,Ethanol,3,21.4
HV,Spin,Silica,1,11.3
HV,Spin,Silica,2,11.3
HV,Spin,Silica,3,11.13
KG,Magnet,Frozen,1,0.205
KG,Magnet,Frozen,2,0.203
KG,Magnet,Frozen,3,0.04
KG,Magnet,Ethanol,1,0.264
KG,Magnet,Ethanol,2,0.861
KG,Magnet,Ethanol,3,0.907
KG,Magnet,Silica,1,0.497
KG,Magnet,Silica,2,0.538
KG,Magnet,Silica,3,0.494
TW,Spin,Frozen,1,0.318
TW,Spin,Frozen,2,0.366
TW,Spin,Frozen,3,0.331
TW,Spin,Ethanol,1,0.392
TW,Spin,Ethanol,2,0.275
TW,Spin,Ethanol,3,0.557
TW,Spin,Silica,1,6.57
TW,Spin,Silica,2,7.52
TW,Spin,Silica,3,2.03
JM,Spin,Frozen,1,2.78
JM,Spin,Frozen,2,3.32
JM,Spin,Frozen,3,2.61
JM,Spin,Ethanol,1,7.81
JM,Spin,Ethanol,2,5.54
JM,Spin,Ethanol,3,14.5
JM,Spin,Silica,1,1.56
JM,Spin,Silica,2,1.94
JM,Spin,Silica,3,2.5
JA,Magnet,Frozen,1,0.353
JA,Magnet,Frozen,2,0.462
JA,Magnet,Frozen,3,0.56
JA,Magnet,Ethanol,1,0.546
JA,Magnet,Ethanol,2,0.337
JA,Magnet,Ethanol,3,0.768
JA,Magnet,Silica,1,0.553
JA,Magnet,Silica,2,0.845
JA,Magnet,Silica,3,0.606
